book_id,reference_count,best_anchor_text,example_source,example_url
169,8,Textbook11,PlanetPhysics-snapshot_2011-04-01/entries/00/IndexOfAlgebraicGeometry/IndexOfAlgebraicGeometry.html,http://planetmath.org/?op=getobj&from=books&id=169
171,2,SGA1,PlanetPhysics-snapshot_2011-04-01/entries/00/IndexOfAlgebraicGeometry/IndexOfAlgebraicGeometry.html,http://planetphysics.org/?op=getobj&from=books&id=171
172,10,Textbook1,PlanetPhysics-snapshot_2011-04-01/entries/00/IndexOfAlgebraicGeometry/IndexOfAlgebraicGeometry.html,http://planetmath.org/?op=getobj&from=books&id=172
174,8,Textbook10,PlanetPhysics-snapshot_2011-04-01/entries/00/IndexOfAlgebraicGeometry/IndexOfAlgebraicGeometry.html,http://planetmath.org/?op=getobj&from=books&id=174
178,6,Textbook12,PlanetPhysics-snapshot_2011-04-01/entries/00/IndexOfAlgebraicGeometry/IndexOfAlgebraicGeometry.html,http://planetmath.org/?op=getobj&from=books&id=178
181,4,Algebraic Topology.,PlanetPhysics-snapshot_2011-04-01/entries/04/SpinNetworksViewedAsCWComplexes/SpinNetworksViewedAsCWComplexes.html,http://planetmath.org/?op=getobj&from=books&id=181
193,2,SGA2,PlanetPhysics-snapshot_2011-04-01/entries/00/IndexOfAlgebraicGeometry/IndexOfAlgebraicGeometry.html,http://planetphysics.org/?op=getobj&from=books&id=193
200,2,SGA6,PlanetPhysics-snapshot_2011-04-01/entries/00/IndexOfAlgebraicGeometry/IndexOfAlgebraicGeometry.html,http://planetphysics.org/?op=getobj&from=books&id=200
201,2,,,
209,2,free downloads,PlanetPhysics-snapshot_2011-04-01/entries/00/FreeEncyclopediaFromPMBooks/FreeEncyclopediaFromPMBooks.html,http://planetphysics.org/?op=getobj&from=books&id=209
213,4,"genetic coding, translational genomics",PlanetPhysics-snapshot_2011-04-01/entries/00/NaturalTransformationsOfOrganismicStructures/NaturalTransformationsOfOrganismicStructures.html,http://planetphysics.org/?op=getobj&from=books&id=213
223,2,"``Fundamentals of Physics with Emphasis on Nuclear Physics.'', free 8 Mb PDF download",PlanetPhysics-snapshot_2011-04-01/entries/00/FundamentalsOfNuclearPhysics/FundamentalsOfNuclearPhysics.html,http://planetphysics.org/?op=getobj&from=books&id=223
224,2,``Introductory Nuclear Physics''-free download,PlanetPhysics-snapshot_2011-04-01/entries/00/FundamentalsOfNuclearPhysics/FundamentalsOfNuclearPhysics.html,http://planetphysics.org/?op=getobj&from=books&id=224
248,2,systems biology,PlanetPhysics-snapshot_2011-04-01/entries/82/ComplexSystemsBiophysics/ComplexSystemsBiophysics.html,http://planetphysics.org/?op=getobj&from=books&id=248
314,2,"A textbook at PPhysics:“Vibrational-Rotational Spectroscopy, Fluorescence and Chemical-Hyperspectral Imaging”",PlanetPhysics-snapshot_2011-04-01/entries/00/VibrationalAndRotationalSpectroscopy/VibrationalAndRotationalSpectroscopy.html,http://planetphysics.org/?op=getobj&from=books&id=314
334,2,M-theory and Supergravity,PlanetPhysics-snapshot_2011-04-01/entries/00/MTheory/MTheory.html,http://planetphysics.org/?op=getobj&from=books&id=334
374,4,Nonabelian Algebraic Topology textbook in 2010,PlanetPhysics-snapshot_2011-04-01/entries/00/NonAbelianAlgebraicTopology5/NonAbelianAlgebraicTopology5.html,http://planetphysics.org/?op=getobj&from=books&id=374
