book_id,title,author,publication_year,confidence,recommended_action,url
259,Quantum Algebraic Topology (QAT) | Physics Library,Contributing,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=259
260,Algebraic Quantum Topology | Physics Library,Contributors listed in the attached PDF Uploaded by: bci1,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=260
261,"DNA Molecular Modeling vol.2, v.Wk4 | Physics Library",Contributors listed in the attached PDF (300+ list) Uploaded by: bci1,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=261
262,Advanced DNA Techniques v.1 | Physics Library,Contributors listed in the attached PDF (1000+ list) Uploaded by: bci1,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=262
263,Advanced DNA Techniques v5 | Physics Library,Contributors listed in the attached PDF (1000+ list) Uploaded by: bci1,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=263
265,"DNA Molecular Modeling Techniques vol.3, v.Wk5 | Physics Library",Contributors listed in the attached PDF (500+ list) Uploaded by: bci1,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=265
266,"Algebraic Topology, Category Theory and Higher Dimensional Algebra (v.2 and 3.) | Physics Library",Contributors listed in the attached PDF (1000+ list) Uploaded by: bci1,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=266
267,"Logic, Metalogics, Relational Logic, Relation Theory, MV-Logic, Algebraic Logic, Quantum Logics and Relational Quantum Theories | Physics Library",Book editor Bci2 and the contributors listed in the attached PDF (2000+) Uploaded by: bci1,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=267
270,Advanced Physical Techniques and Applications | Physics Library,"I. C. Baianu book editor, with wiki contributors listed in the attached PDF Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=270
271,"Algebraic Topology, Category Theory and Higher Dimensional Algebra (v.1 and 2.) | Physics Library","I. C. Baianu book Editor, with wiki contributors listed in the attached PDF Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=271
272,Algebraic Topology: Results and Applications in Quantum Physics | Physics Library,"I. C. Baianu (Book Editor), with the wiki contributors listed in the attached PDF Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=272
273,"Symmetry Breaking, Goldstone Bosons and Algebraic Quantum Topology | Physics Library","Book editor: I.C. Baianu, with the wiki contributors listed in the attached PDF Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=273
274,Mathematical and Experimental Biophysics: An Introduction. Topics and related science areas | Physics Library,"I. C. Baianu (Book Editor), with the wiki contributors listed in the attached PDF Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=274
276,"Complexity and Dynamics: Complexity Theories, Dynamical Systems and Applications to Biology, Psychology and Sociology | Physics Library","Bci2- Book Editor, with the wiki contributors listed in the attached PDF Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=276
278,Supercomplex Systems | Physics Library,Contributors listed in the attached PDF Uploaded by: bci1,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=278
279,Ultracomplex Systems | Physics Library,Contributing,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=279
280,Mathematical Biophysicists: A Partial List with Related Fields and Concepts | Physics Library,Contributors listed in the attached PDF Uploaded by: bci1,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=280
282,Erwin Schroedinger and Life Itself ? | Physics Library,Contributing,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=282
283,An Introduction to X-ray and Neutron Scattering | Physics Library,Contributing,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=283
284,Relativity Theories: Basic concepts and theories | Physics Library,Contributing,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=284
285,"""The Society for Mathematical Biology"", Related Publications, Scientists and Research Areas | Physics Library",Contributing,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=285
287,Quantum Theories : Volume 1 | Physics Library,Contributing,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=287
288,"Quantum Theories: Volume 2- Standard Model, Quantum Gravity, Supergravity and Non-standard Models | Physics Library",Contributors listed in the attached PDF Uploaded by: bci1,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=288
289,"Symmetry, Quantum Groups, Groupoids and Categories | Physics Library",Contributors listed in the attached PDF Uploaded by: bci1,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=289
290,"Nuclear Magnetic Resonance (NMR): Principles,Techniques and Applications | Physics Library",Contributing,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=290
291,Complex Systems Theory: Fundamentals | Physics Library,Contributing,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=291
308,"Quantum Gravity, the Standard Model and Particle Accelerators | Physics Library",Contributing,,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=308
313,Physical Interactions of Humans with Primates: Relevance to Primate Evolution | Physics Library,"Bci2 , Editor with listed contributors Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=313
314,"Vibrational-Rotational Spectroscopy, Fluorescence and Chemical-Hyperspectral Imaging | Physics Library","Bci2 , Editor with listed contributors Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=314
317,Basic Relativity Textbook | Physics Library,"Contributed book, edited by bci1 Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=317
318,Higher Dimensional Algebra | Physics Library,"Contributed book, edited by bci1 Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=318
320,Higher Dimensional Algebra v. 5 | Physics Library,"Contributed book, edited by bci1 Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=320
321,Mathematical and Theoretical Biologists. Molecular Biologists: Their Biographies and Research: Vols.1 and 2 | Physics Library,"Contributed book, edited by bci1 Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=321
322,Mathematical and Theoretical Biology: Vol.1 | Physics Library,"Contributed book, edited by bci1 Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=322
323,Mathematical Biophysics and Molecular Biology: Vol. 2 | Physics Library,"Contributed book, edited by bci1 Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=323
324,Higher Dimensional Algebra v. 06 | Physics Library,"Contributed book, edited by bci1 Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=324
326,"Higher Dimensional Algebra and Algebraic Topology, with Biographies v.09 | Physics Library","Contributed book, edited by bci1 Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=326
331,"Hamiltonian Mechanics, Symplectic Geometry, Quantum Theory, TQFT and Relativity | Physics Library","Contributed book, edited by bci1 Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=331
334,M-theory and Supergravity | Physics Library,"Contributed book, edited by bci1 Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=334
336,Molecular models of DNA and Dynamics | Physics Library,"Contributed book, edited by bci1 Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=336
337,"DNA: Molecular Modeling, Structure, Dynamics and Applications | Physics Library","Contributed book, edited by bci1 Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=337
339,"Biophysical Chemistry, Theoretical Biophysics and Nuclear Medicine Vol 1: Principles, Theory, and Experiments | Physics Library","Bci2- Book Editor, with the contributors listed in the attached PDF Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=339
341,Biophysical Chemistry Techniques and Nuclear Medicine Applications: Vol.2 | Physics Library,"Bci2- Book Editor, with the contributors listed in the attached PDF Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=341
342,Molecular Modeling of Complex Biomolecules: Fundamentals and Applications. | Physics Library,"Bci2- Book Editor, with the contributors listed in the attached PDF Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=342
343,Polarization Spectroscopy and Applications | Physics Library,"Contributed book, edited by bci1 Uploaded by: bci1",,medium,Retain candidate; verify GFDL version/notices in the downloadable file,https://physicslibrary.org/?op=getobj;from=books;id=343
