book_id,title,author,publication_year,confidence,recommended_action,url
25,Introduction to Algebraic and Constructive Quantum Field Theory | Physics Library,"John C. Baez, Irving E. Segal and Zhengfang Zhou Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=25
28,Introductory Lectures on (non-Abelian) Rings and Modules | Physics Library,John A. Beachy Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=28
29,Notes on Quantum Mechanics | Physics Library,Klaus Schulten Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=29
31,Operator Algebras and Quantum Field Theory | Physics Library,"R. Longo (Author), S. Doplicher, J. E. Roberts, L. Zsido (Editors) Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=31
32,Practical Foundations of Mathematics | Physics Library,"Paul Taylor, Department of Computer Science, University of Manchester Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=32
33,Ricci Flow and the Poincare' Conjecture | Physics Library,John Morgan and Gang Tian Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=33
35,Foundations of Quantum Mechanics | Physics Library,Dr. H. Osborn Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=35
36,Mathematical ideas and notions of quantum field theory | Physics Library,"Pavel Etingof, Department of Mathematics, MIT, Cambridge, MA, USA 02139 Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=36
37,Mathematical Crystallography | Physics Library,"HKDH Bhadeshia, Professor of Physical Metallurgy, Fellow of Darwin College, University of Cambridge, UK Uploaded by: bci1",2001,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=37
38,"Introduction to Groups, Invariants and Particles | Physics Library","Frank W. K. Firk, Professor Emeritus of Physics, Yale University Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=38
39,Operator Algebras and Quantum StatisticaI Mechanics -vol. 2 | Physics Library,,1987,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=39
40,Operator Algebras and Quantum StatisticaI Mechanics -vol. 1 | Physics Library,Authors: 0la Bratteli and Derek W. Robinson Uploaded by: bci1,1987,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=40
42,Computational Physics: An Introductory course | Physics Library,"Richard Fitzpatrick, Associate Professor of Physics, The University of Texas at Austin Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=42
43,Computational Physics | Physics Library,"Nicholas J. Giordano and Benjamin Cummings , Physics Dept., Purdue University Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=43
48,Quantum Fields Theory - book draft | Physics Library,"Mark Srednicki,University of California, Santa Barbara, Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=48
49,Advanced Quantum Field Theory | Physics Library,"Roberto Casalbuoni, Dipartimento di Fisica, Universita di Firenze Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=49
50,Quantum Chromodynamics | Physics Library,Varia Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=50
51,Relativistic Quantum Field Theory | Physics Library,"Prof. Dr. Wolfgang L\""ucke,Institut f\""ur Physik und Physikalische Technologien der Technischen Universit\""at Clausthal Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=51
55,From Computational Biophysics to Systems Biology (CBSB07) | Physics Library,"Ulrich H. E. Hansmann, Jan Meinke, Sandipan Mohanty, Olav Zimmermann (Editors), John von Neumann Institut f\""ur Computing Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=55
56,Theory of Superconductivity: A Primer | Physics Library,Helmut Eschrig Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=56
58,Introduction to relativistic quantum chemistry | Physics Library,"Professor Pekka Pyykk\""o, Univerwsity of Helsinki Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=58
59,Introduction to Differential Geometry and General Relativity | Physics Library,"Stefan Waner, Department of Mathematics, Hofstra University Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=59
60,Lecture Notes on General Relativity | Physics Library,"Sean M. Carroll, Institute for Theoretical Physics, University of California, Santa Barbara, CA 93106 Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=60
61,Lectures on Quantum Physics | Physics Library,"Paul E. Dimeotakis, Caltech: California Institute of Technology Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=61
64,Introduction to Modern Solid State Physics | Physics Library,"Yuri M. Galperin, Department of Physics, P.O. Box 1048, Blindern, 0316 Oslo, Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=64
65,Complex Geometry of Nature and General Relativity | Physics Library,"Giampiero Esposito, INFN, Sezione di Napoli, Mostra d'Oltremare Padiglione 20, 80125 Napoli, Italy Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=65
67,Nuclear Physics | Physics Library,B. Bishop Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=67
68,Physics in Medicine | Physics Library,Varia Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=68
69,Exponential Representations of Cannonical Commutation Relations | Physics Library,"James D. Fabrey, MIT Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=69
70,Introduction to Plasma Physics | Physics Library,"Richard Fitzpatrick, Associate Professor of Physics,The Institute for Fusion Studies, The University of Texas at Austin Uploaded by: bci1",1956,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=70
71,Quantum Fluctuations | Physics Library,Edward Nelson Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=71
73,Elementary Particle Physics | Physics Library,"Paolo Franzini, University of Rome, Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=73
75,Equivariant KK-theory and noncommutative index theory | Physics Library,"Jacek Brodzki, with Notes taken by Pawe l Witkowski Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=75
76,Lectures on Atomic Physics | Physics Library,"Walter R. Johnson,Department of Physics, University of Notre Dame, Dame Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=76
77,Particle Detector Brief Book | Physics Library,"R.K. Bock, at CERN, Geneva, Switzerland, and A.Vasilescu, at the Institute of atomic Physics (IFA), Bucharest ( Bucuresti), Romania Uploaded by: bci1",1984,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=77
78,Physics Modern Technology | Physics Library,"Randy Kobes and Gabor Kunstatter, Physics Department, University of Winnipeg Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=78
82,Classical Electrodynamics and Theory of Relativity | Physics Library,"R.A. Sharipov, Bashkir State University Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=82
84,Optical Physics and Quantum Electronics | Physics Library,"R. Victor Jones, Harvard University Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=84
90,Photonic Crystals: Molding the Flow of Light | Physics Library,"John D. Joannopoulos, S.G. Johnson, J. N. Winn and R.D. Meade, Princeton University Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=90
91,A Concise Course in Algebraic Topology | Physics Library,J. P. May Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=91
94,A K-Theory and NonCommutative Geometry: Cyclic Cohomology for Hopf algebras | Physics Library,"Nigel Higson, Pennsylvania State University Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=94
95,A Lecture Course in Geometric Algebra | Physics Library,"Anthony Lasenby and Chris Doran, University of Cambridge, UK Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=95
96,Lecture on Operator K-Theory and the Atiyah-Singer Index Theorem | Physics Library,Nigel Higson and John Roe Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=96
99,A series of Lecture Notes on the K-Theory of Operator Algebras | Physics Library,,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=99
101,Abstract Algebra On Line --including Galois theory | Physics Library,John A. Beachy and William D. Blair Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=101
105,Abstract Algebra: A Study Guide for Beginners --including Supplement Lecture Notes. | Physics Library,"John A. Beachy and William D. Blair , Mathematics Dept., Northern Illinois University (NIU) Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=105
115,Algebraic Topology | Physics Library,Solomon Lefschetz Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=115
128,A Spectroscopy textbook | Physics Library,M. Kuno Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=128
131,Algebraic K-theory | Physics Library,"Hyman Bass,Columbia University, USA Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=131
136,Algebraic Topology-2002 | Physics Library,Allen Hatcher Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=136
137,Algebra: Abstract and Concrete | Physics Library,"Frederick M. Goodman, Department of Mathematics MLH, University Of Iowa Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=137
138,"A Systemic, Mathematical Approach to Learning Organization and Team Learning: Lectures | Physics Library","I. Ivan, C. Herteliu and Gh. Nosca, Editors, University of Economics, Bucharest; Manuscript Editor: Lucian Naie, IBM in Romania Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=138
139,Prigogine's Thermodynamic Emergence and Continuous Topological Evolution and Continuous Topological Evolution | Physics Library,"R. M. Kiehn, Emeritus Professor of Physics, University of Houston,http://www.cartan.pair.com Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=139
141,An elementary theory of the category of sets | Physics Library,F. William Lawvere Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=141
142,An Introduction to Probability and Random Processes | Physics Library,Gian-Carlo Rota and Kenneth Baclawski Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=142
145,"An update of : ""Functorial Semantics of Algebraic Theories."" | Physics Library",William F. Lawvere Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=145
148,Current Topics in Complex Algebraic Geometry | Physics Library,"Herbert Clemens and Janosh Kollar, Editors Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=148
149,Grothendieck Theory of Dessins d'Enfants (The) (London Mathematical Society Lecture Note Series) | Physics Library,"Authors: Leila Schneps (CNRS, France) Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=149
150,Groupoid Representations | Physics Library,M. R. Buneci Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=150
151,Graph Theory | Physics Library,Reinhard Diestel Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=151
152,Elementary Topology. Problem Textbook | Physics Library,"O. Ya. Viro, O. A. Ivanov, N. Yu. Netsvetaev, V. M. Kharlamov Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=152
155,Dynamical Systems (I) | Physics Library,George D. Birkhoff Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=155
157,Grassmann Algebra | Physics Library,John M Browne Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=157
159,Effective Hamiltonians and Averaging for Hamiltonian Dynamics- I | Physics Library,"L. C. Evans and D. Gomes , Department of Mathematics, University of California, Berkeley, CA 94720 Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=159
164,Practical Foundations of Mathematics: computer science algebra | Physics Library,"Paul Taylor, Department of Computer Science, University of Manchester Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=164
166,Presenting Quantum Schur Algebras as Quotients of the Quantized Universal Enveloping Algebra of U(gl_2) | Physics Library,Stephen Dotty and Anthony Giaquinto Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=166
167,Nonabelian Algebraic Topology vol. 1 | Physics Library,R. Brown and R. Sivera Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=167
168,"Introduction to Groups, Invariants and Particles | Physics Library","Frank W. K. Firk, Professor Emeritus of Physics, Yale University Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=168
169,"Second Joint Meeting of AMS, DMV, and OMG | Physics Library","Johannes Gutenberg University, Mainz, Germany Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=169
170,"Seminar on Triples and Categorical Homology Theory, Lecture Notes in Mathematics, Volume 80 | Physics Library","Beno Eckmann and Myles Tierney, Editors Uploaded by: bci1",2008,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=170
171,"Seminars on Algebraic Geometry, vol.1 (Seminaires en Ge'ometrie Alge'brique du Bois Marie - 4, Tome 1, Expose' 1) | Physics Library",Alexander Grothendieck Uploaded by: bci1,2003,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=171
172,Solution Manual: An Introduction to Algebraic Topology (JJR) | Physics Library,"Mohammad Ehtisham Akhtar, Imperial College, London Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=172
173,Molecular Physics | Physics Library,"James Arnold Crowther, MA Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=173
175,"Catalogue of scientific papers, 1800-1900 : subject index (1908) | Physics Library",varia Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=175
176,"An elementary treatise on Fourier's series and spherical, cylindrical, and ellipsoidal harmonics with applications to problems in mathematical physics | Physics Library","Byerly, William Elwood Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=176
177,Works of Sir Isaac Newton--Isaaci Newtoni Opera quae exstant omnia | Physics Library,with notes by GEORGE J. GRAY Uploaded by: bci1,1888,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=177
178,Physical Review Contents :1917 | Physics Library,various Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=178
179,"Roentgen rays: memoirs by Roentgen, Stokes, and J. J. Thomson | Physics Library","George Frederick Barker, Wilhelm Conrad Roentgen, George Gabriel Stokes, Joseph John Thomson Uploaded by: bci1",1899,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=179
180,Understanding Calculus | Physics Library,Faraz Hussain Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=180
181,Vector Bundles and K-Theory: A Preprinted Preview | Physics Library,"Allan Hatcher, Department of Mathematics, Cornell University, USA Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=181
183,Algebraic Groups and Discontinuous Subgroups | Physics Library,Armand Borel and George D. Mostow Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=183
184,Geometric Asymptotics (Revised Edition) | Physics Library,"Victor Guillemin and Shlomo Sternberg, Harvard University Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=184
187,Geometric Models for Noncommutative Algebra | Physics Library,"Ana Cannas da Silva and Alan Weinstein, University of California at Berkeley Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=187
189,Abstract Harmonic Analysis.Structure of Non-locallycompact Abelian Groups and Representations | Physics Library,J.Foukzon Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=189
190,Notes on Basic 3-Manifold Topology | Physics Library,Allen Hatcher Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=190
191,Spectral Sequences in Algebraic Topology | Physics Library,Allen Hatcher Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=191
192,Notes on Introductory Point-Set Topology | Physics Library,Allen Hatcher Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=192
193,"Seminaires en Geometrie Algebrique 3 - tome 2 - Groupes de type Multiplicatif, et Structure des Schemas en Groupes Generaux | Physics Library","A. Dold and B. Eckmann (editors), M. Demazure, A. Grothendieck, M. Artin, J. E. Bertin, P. Gabriel, M. Raynaud, J. P. Serre Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=193
200,"Seminaires en Geometrie Algebrique du Bois-Marie, 1966-1967, SGA6 | Physics Library","P. Berthelot, Alex Grothendieck, L. Illusie, in collaboration with D.Ferrand, J.P. Jouanolou, O. Jussila,S. Kleiman, M. Raynaud and J. P. Serre Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=200
201,"Seminaires en Geometrie Algebrique du Bois-Marie, 1962-1964, SGA3 | Physics Library","M. Demazure and Alexander Grothendieck, in collaboration with M. Artin, J.E. Bertin, P. Gabriel, M. Raynaud and J. P. Serre Uploaded by: bci1",1977,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=201
205,Taming Wild extensions: Hopf Algebras and Local Galois- Module Theory | Physics Library,Lindsay N. Childs Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=205
206,"PlanetPhysics.org Book on April 25, 2009 | Physics Library",various Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=206
207,PM Book volume 1 PDF file | Physics Library,"Editors Joe Corneli and Aaron Krowne, various PM contributors in 2004 and 2005 (about 100",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=207
208,PM Book volume 2 PDF file | Physics Library,"Editors Joe Corneli and Aaron Krowne, various PM contributors in 2004 and 2005 (about 100",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=208
209,PlanetMah Free Encyclopedia | Physics Library,"Joseph Corneli, Aaron Krowne and Ross Moore Uploaded by: bci1",2001,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=209
211,DNA | Physics Library,"contributors listed in attached PDF document, including bci1 Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=211
212,2D-FT NMRI and Spectroscopy | Physics Library,"Bci2 Editor, with listed contributors at the end of the PDF Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=212
213,DNA Molecular Models and Dynamics | Physics Library,I. C. Baianu et al. Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=213
215,Abstract Algebra | Physics Library,Thomas Collection Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=215
218,DNA Structure and Dynamics | Physics Library,100 +,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=218
220,DNA Molecular Dynamics and Spectroscopy | Physics Library,3 Contributing,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=220
221,DNA Dynamics | Physics Library,3 Contributing,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=221
222,"Biochemistry, Biophysics and Molecular Structures of Nucleic Acids | Physics Library",100 + contributors' list specified in the attached PDF Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=222
223,Fundamentals of Physics with empahsis on Nuclear Physics | Physics Library,over 200 contributing,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=223
224,Introductory Nuclear Physics | Physics Library,Sean Cadogan Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=224
225,Computational Physics II | Physics Library,"Acsu at Buffalo, New York Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=225
226,Mathematical biophysics of the central nervous system | Physics Library,"Householder, Alston Scott, and Landahl, Herbert Daniel, UCSF Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=226
227,Algebraic Quantum Field Theory (AQFT) | Physics Library,"Hans Halvorson, Michael Mueger Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=227
228,Local Quantum Field Theories | Physics Library,Contributors listed in attached PDF document Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=228
229,Logic: An Overview | Physics Library,Contributing,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=229
230,"Spectroscopy: Principles, Techniques and Applications | Physics Library",Contributing,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=230
231,Interactomics and Complex Systems Biology | Physics Library,Contributing,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=231
